     PLAYER_ID  RANK                    PLAYER TEAM  GP   MIN   FGM   FGA  FG_PCT  FG3M  FG3A  FG3_PCT  FTM  FTA  FT_PCT  OREB  DREB   REB   AST  STL  BLK  TOV   PTS   EFF
83        2548    84               Dwyane Wade  MIA   8  25.3   5.1  11.8   0.436   1.9   4.4    0.429  1.8  2.6   0.667   1.4   3.0   4.4   3.0  0.5  0.4  2.6  13.9  12.0
84      204060    85                Joe Ingles  UTA   9  33.7   5.0  11.0   0.455   2.6   6.6    0.390  1.2  1.8   0.688   0.2   4.6   4.8   4.2  1.7  0.2  2.9  13.8  15.2
85      202711    86          Bojan Bogdanovic  IND  10  29.4   5.0   9.6   0.521   2.0   3.9    0.513  1.7  2.3   0.739   0.2   3.3   3.5   0.8  0.5  0.0  1.8  13.7  11.5
86      203925    87                Joe Harris  BKN  10  30.4   5.0   9.0   0.556   3.0   5.0    0.600  0.6  0.8   0.750   0.8   2.8   3.6   2.6  0.5  0.1  1.7  13.6  14.5
87     1627734    88          Domantas Sabonis  IND   9  22.8   5.2   7.8   0.671   0.1   0.1    1.000  3.0  3.7   0.818   2.9   5.9   8.8   2.3  0.7  0.7  2.1  13.6  20.7
88      202339    88              Eric Bledsoe  MIL   9  27.6   5.0  10.7   0.469   1.4   4.3    0.333  2.1  2.6   0.826   1.1   3.3   4.4   6.2  0.8  0.9  2.0  13.6  17.8
90     1628370    91                Malik Monk  CHA  10  23.5   4.8  11.6   0.414   2.4   6.5    0.369  1.4  1.4   1.000   0.2   1.5   1.7   2.3  0.5  0.4  1.2  13.4  10.3
89      203500    90              Steven Adams  OKC   7  32.9   5.3   9.6   0.552   0.0   0.0    0.000  2.9  5.1   0.556   4.7   5.9  10.6   1.3  1.6  1.3  1.4  13.4  20.1
91     1627763    92           Malcolm Brogdon  MIL   9  30.2   5.0   9.9   0.506   1.6   3.6    0.438  1.8  1.8   1.000   0.7   3.2   3.9   3.6  0.4  0.2  1.8  13.3  14.8
92      202066    93            Garrett Temple  MEM   8  31.8   4.3   9.1   0.466   2.1   4.6    0.459  2.6  3.3   0.808   0.6   3.3   3.9   1.3  0.9  0.4  1.1  13.3  13.0
93      200752    93                  Rudy Gay  SAS   8  28.0   5.6  11.5   0.489   1.1   2.0    0.563  0.9  1.4   0.636   1.3   6.6   7.9   2.0  1.1  0.5  2.1  13.3  16.3
